2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 09:54:45,481 baseline.train INFO: Epoch[1] Iteration[50/3385] Loss: 0.456, Acc: 0.887, Base Lr: 3.82e-05
2021-02-09 09:56:53,594 baseline.train INFO: Epoch[1] Iteration[100/3385] Loss: 0.375, Acc: 0.888, Base Lr: 3.82e-05
2021-02-09 09:59:06,563 baseline.train INFO: Epoch[1] Iteration[150/3385] Loss: 0.337, Acc: 0.890, Base Lr: 3.82e-05
2021-02-09 10:01:17,833 baseline.train INFO: Epoch[1] Iteration[200/3385] Loss: 0.320, Acc: 0.888, Base Lr: 3.82e-05
2021-02-09 10:03:31,991 baseline.train INFO: Epoch[1] Iteration[250/3385] Loss: 0.307, Acc: 0.890, Base Lr: 3.82e-05
2021-02-09 10:05:44,800 baseline.train INFO: Epoch[1] Iteration[300/3385] Loss: 0.296, Acc: 0.891, Base Lr: 3.82e-05
2021-02-09 10:07:57,779 baseline.train INFO: Epoch[1] Iteration[350/3385] Loss: 0.288, Acc: 0.892, Base Lr: 3.82e-05
2021-02-09 10:10:13,017 baseline.train INFO: Epoch[1] Iteration[400/3385] Loss: 0.284, Acc: 0.892, Base Lr: 3.82e-05
2021-02-09 10:12:23,877 baseline.train INFO: Epoch[1] Iteration[450/3385] Loss: 0.279, Acc: 0.893, Base Lr: 3.82e-05
2021-02-09 10:14:35,191 baseline.train INFO: Epoch[1] Iteration[500/3385] Loss: 0.274, Acc: 0.894, Base Lr: 3.82e-05
2021-02-09 10:16:48,769 baseline.train INFO: Epoch[1] Iteration[550/3385] Loss: 0.272, Acc: 0.894, Base Lr: 3.82e-05
2021-02-09 10:19:00,122 baseline.train INFO: Epoch[1] Iteration[600/3385] Loss: 0.270, Acc: 0.893, Base Lr: 3.82e-05
2021-02-09 10:21:10,684 baseline.train INFO: Epoch[1] Iteration[650/3385] Loss: 0.268, Acc: 0.893, Base Lr: 3.82e-05
2021-02-09 10:23:25,746 baseline.train INFO: Epoch[1] Iteration[700/3385] Loss: 0.265, Acc: 0.893, Base Lr: 3.82e-05
2021-02-09 10:25:35,587 baseline.train INFO: Epoch[1] Iteration[750/3385] Loss: 0.263, Acc: 0.894, Base Lr: 3.82e-05
2021-02-09 10:27:47,690 baseline.train INFO: Epoch[1] Iteration[800/3385] Loss: 0.261, Acc: 0.895, Base Lr: 3.82e-05
2021-02-09 10:30:01,853 baseline.train INFO: Epoch[1] Iteration[850/3385] Loss: 0.259, Acc: 0.895, Base Lr: 3.82e-05
2021-02-09 10:32:15,860 baseline.train INFO: Epoch[1] Iteration[900/3385] Loss: 0.257, Acc: 0.895, Base Lr: 3.82e-05
2021-02-09 10:34:30,519 baseline.train INFO: Epoch[1] Iteration[950/3385] Loss: 0.256, Acc: 0.895, Base Lr: 3.82e-05
2021-02-09 10:36:43,070 baseline.train INFO: Epoch[1] Iteration[1000/3385] Loss: 0.255, Acc: 0.896, Base Lr: 3.82e-05
2021-02-09 10:38:55,521 baseline.train INFO: Epoch[1] Iteration[1050/3385] Loss: 0.254, Acc: 0.896, Base Lr: 3.82e-05
2021-02-09 10:41:05,423 baseline.train INFO: Epoch[1] Iteration[1100/3385] Loss: 0.253, Acc: 0.896, Base Lr: 3.82e-05
2021-02-09 10:43:16,453 baseline.train INFO: Epoch[1] Iteration[1150/3385] Loss: 0.252, Acc: 0.897, Base Lr: 3.82e-05
2021-02-09 10:45:27,140 baseline.train INFO: Epoch[1] Iteration[1200/3385] Loss: 0.251, Acc: 0.897, Base Lr: 3.82e-05
2021-02-09 10:47:39,337 baseline.train INFO: Epoch[1] Iteration[1250/3385] Loss: 0.250, Acc: 0.897, Base Lr: 3.82e-05
2021-02-09 10:49:49,670 baseline.train INFO: Epoch[1] Iteration[1300/3385] Loss: 0.250, Acc: 0.897, Base Lr: 3.82e-05
2021-02-09 10:52:04,411 baseline.train INFO: Epoch[1] Iteration[1350/3385] Loss: 0.249, Acc: 0.897, Base Lr: 3.82e-05
2021-02-09 10:54:16,161 baseline.train INFO: Epoch[1] Iteration[1400/3385] Loss: 0.248, Acc: 0.898, Base Lr: 3.82e-05
2021-02-09 10:56:29,506 baseline.train INFO: Epoch[1] Iteration[1450/3385] Loss: 0.248, Acc: 0.898, Base Lr: 3.82e-05
2021-02-09 10:58:40,425 baseline.train INFO: Epoch[1] Iteration[1500/3385] Loss: 0.248, Acc: 0.897, Base Lr: 3.82e-05
2021-02-09 11:00:53,526 baseline.train INFO: Epoch[1] Iteration[1550/3385] Loss: 0.247, Acc: 0.898, Base Lr: 3.82e-05
2021-02-09 11:03:06,062 baseline.train INFO: Epoch[1] Iteration[1600/3385] Loss: 0.247, Acc: 0.898, Base Lr: 3.82e-05
2021-02-09 11:05:17,010 baseline.train INFO: Epoch[1] Iteration[1650/3385] Loss: 0.247, Acc: 0.898, Base Lr: 3.82e-05
